miRNA,drug
hsa-mir-377,Gemcitabine
hsa-mir-429,Gemcitabine
hsa-mir-452,Gemcitabine
hsa-mir-589,Gemcitabine
hsa-mir-597,Gemcitabine
hsa-mir-708,Gemcitabine
hsa-mir-99b,Gemcitabine
hsa-mir-370,Homoharringtonine
hsa-mir-181a-2,Cisplatin
hsa-mir-16-1,Gemcitabine
hsa-mir-16-1,Pemetrexed
hsa-mir-21,Trastuzumab
hsa-let-7i,Paclitaxel
hsa-mir-103a-2,Paclitaxel
hsa-mir-106b,Paclitaxel
hsa-mir-10a,Paclitaxel
hsa-mir-10b,Paclitaxel
hsa-mir-1204,Paclitaxel
hsa-mir-125a,Paclitaxel
hsa-mir-126,Paclitaxel
hsa-mir-127,Paclitaxel
hsa-mir-128-1,Paclitaxel
hsa-mir-129-1,Paclitaxel
hsa-mir-1296,Paclitaxel
hsa-mir-130b,Paclitaxel
hsa-mir-130b,Paclitaxel
hsa-mir-132,Paclitaxel
hsa-mir-133a-1,Paclitaxel
hsa-mir-133a-1,Paclitaxel
hsa-mir-133b,Paclitaxel
hsa-mir-134,Paclitaxel
hsa-mir-139,Paclitaxel
hsa-mir-141,Paclitaxel
hsa-mir-143,Paclitaxel
hsa-mir-143,Paclitaxel
hsa-mir-145,Paclitaxel
hsa-mir-155,Paclitaxel
hsa-mir-182,Paclitaxel
hsa-mir-187,Paclitaxel
hsa-mir-18a,Paclitaxel
hsa-mir-1908,Paclitaxel
hsa-mir-1908,Vinorelbine
hsa-mir-197,Vinorelbine
hsa-mir-199a-1,Vinorelbine
hsa-mir-199b,Vinorelbine
hsa-mir-200c,Vinorelbine
hsa-mir-23b,Vinorelbine
hsa-mir-346,Paclitaxel
hsa-mir-34c,Vinorelbine
hsa-mir-361,Paclitaxel
hsa-mir-363,Vinorelbine
hsa-mir-374a,Vinorelbine
hsa-mir-432,Vinorelbine
hsa-mir-486-1,Vinorelbine
hsa-mir-512-1,Vinorelbine
hsa-mir-513b,Vinorelbine
hsa-mir-515-1,Vinorelbine
hsa-mir-516a-1,Vinorelbine
hsa-mir-517a,Vinorelbine
hsa-mir-517c,Vinorelbine
hsa-mir-518e,Vinorelbine
hsa-mir-518f,Vinorelbine
hsa-mir-519a-1,Vinorelbine
hsa-mir-519b,Vinorelbine
hsa-mir-519c,Vinorelbine
hsa-mir-519e,Vinorelbine
hsa-mir-522,Vinorelbine
hsa-mir-523,Vinorelbine
hsa-mir-582,Vinorelbine
hsa-mir-585,Vinorelbine
hsa-mir-586,Vinorelbine
hsa-mir-605,Paclitaxel
hsa-mir-610,Paclitaxel
hsa-mir-615,Paclitaxel
hsa-mir-625,Paclitaxel
hsa-mir-671,Paclitaxel
hsa-mir-767,Paclitaxel
hsa-mir-769,Paclitaxel
hsa-mir-875,Paclitaxel
hsa-mir-885,Paclitaxel
hsa-mir-920,Paclitaxel
hsa-mir-922,Paclitaxel
hsa-mir-933,Paclitaxel
hsa-mir-938,Paclitaxel
hsa-mir-9-1,AG014699
hsa-mir-9-1,Cisplatin
hsa-mir-200b,5-Fluorouracil
hsa-mir-200c,5-Fluorouracil
hsa-mir-200b,Celastrol
hsa-mir-181a-2,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-10b,Gefitinib
hsa-mir-21,Gefitinib
hsa-let-7c,Erlotinib
hsa-mir-200b,Erlotinib
hsa-mir-29a,Cisplatin
hsa-mir-101-1,5-Fluorouracil
hsa-mir-101-1,Doxorubicin (Adriamycin)
hsa-mir-365a,Gemcitabine
hsa-mir-135b,Imatinib
hsa-mir-140,Imatinib
hsa-mir-151a,Imatinib
hsa-mir-15a,Imatinib
hsa-mir-16-1,Imatinib
hsa-mir-195,Imatinib
hsa-mir-320a,Imatinib
hsa-mir-335,Imatinib
hsa-mir-483,Imatinib
hsa-mir-574,Imatinib
hsa-mir-664a,Imatinib
hsa-let-7e,Paclitaxel
hsa-let-7e,Paclitaxel
hsa-mir-106a,Paclitaxel
hsa-mir-106a,Paclitaxel
hsa-mir-125a,Paclitaxel
hsa-mir-126,Paclitaxel
hsa-mir-130a,Paclitaxel
hsa-mir-130b,Paclitaxel
hsa-mir-134,Paclitaxel
hsa-mir-141,Paclitaxel
hsa-mir-142,Paclitaxel
hsa-mir-148a,Paclitaxel
hsa-mir-17,Paclitaxel
hsa-mir-17,Paclitaxel
hsa-mir-192,Paclitaxel
hsa-mir-193b,Paclitaxel
hsa-mir-195,Paclitaxel
hsa-mir-19b-1,Paclitaxel
hsa-mir-218-1,Paclitaxel
hsa-mir-29c,Paclitaxel
hsa-mir-30a,Paclitaxel
hsa-mir-30a,Paclitaxel
hsa-mir-30c-2,Paclitaxel
hsa-mir-320a,Paclitaxel
hsa-mir-338,Paclitaxel
hsa-mir-367,Paclitaxel
hsa-mir-373,Paclitaxel
hsa-mir-374a,Paclitaxel
hsa-mir-376b,Paclitaxel
hsa-mir-377,Paclitaxel
hsa-mir-489,Paclitaxel
hsa-mir-515-1,Paclitaxel
hsa-mir-516a-1,Paclitaxel
hsa-mir-7-1,Paclitaxel
hsa-mir-95,Paclitaxel
hsa-mir-99b,Paclitaxel
hsa-mir-27a,Chemotherapy
hsa-mir-145,Vemurafenib
hsa-mir-23a,5-fluorouracil
hsa-mir-134,Gefitinib
hsa-mir-487b,Gefitinib
hsa-let-7c,Gefitinib
hsa-mir-21,5-Fluorouracil
hsa-mir-221,Trastuzumab
hsa-mir-30b,Erlotinib
hsa-mir-30b,Gefitinib
hsa-mir-1269a,Doxorubicin (Adriamycin)
hsa-mir-127,Doxorubicin (Adriamycin)
hsa-mir-135b,Doxorubicin (Adriamycin)
hsa-mir-146a,Doxorubicin (Adriamycin)
hsa-mir-149,Doxorubicin (Adriamycin)
hsa-mir-184,Doxorubicin (Adriamycin)
hsa-mir-202,Doxorubicin (Adriamycin)
hsa-mir-299,Doxorubicin (Adriamycin)
hsa-mir-3117,Doxorubicin (Adriamycin)
hsa-mir-323a,Doxorubicin (Adriamycin)
hsa-mir-338,Doxorubicin (Adriamycin)
hsa-mir-3681,Doxorubicin (Adriamycin)
hsa-mir-3681,Doxorubicin (Adriamycin)
hsa-mir-369,Doxorubicin (Adriamycin)
hsa-mir-375,Doxorubicin (Adriamycin)
hsa-mir-376a-1,Doxorubicin (Adriamycin)
hsa-mir-376b,Doxorubicin (Adriamycin)
hsa-mir-376c,Doxorubicin (Adriamycin)
hsa-mir-377,Doxorubicin (Adriamycin)
hsa-mir-379,Doxorubicin (Adriamycin)
hsa-mir-380,Doxorubicin (Adriamycin)
hsa-mir-381,Doxorubicin (Adriamycin)
hsa-mir-383,Doxorubicin (Adriamycin)
hsa-mir-409,Doxorubicin (Adriamycin)
hsa-mir-410,Doxorubicin (Adriamycin)
hsa-mir-411,Doxorubicin (Adriamycin)
hsa-mir-485,Doxorubicin (Adriamycin)
hsa-mir-487b,Doxorubicin (Adriamycin)
hsa-mir-488,Doxorubicin (Adriamycin)
hsa-mir-489,Doxorubicin (Adriamycin)
hsa-mir-494,Doxorubicin (Adriamycin)
hsa-mir-495,Doxorubicin (Adriamycin)
hsa-mir-508,Doxorubicin (Adriamycin)
hsa-mir-509-1,Doxorubicin (Adriamycin)
hsa-mir-514a-1,Doxorubicin (Adriamycin)
hsa-mir-584,Doxorubicin (Adriamycin)
hsa-mir-889,Doxorubicin (Adriamycin)
hsa-mir-122,5-Fluorouracil
hsa-mir-122,Oxaliplatin
hsa-mir-145,5-Fluorouracil
hsa-mir-145,Oxaliplatin
hsa-mir-185,5-Fluorouracil
hsa-mir-185,Oxaliplatin
hsa-mir-191,5-Fluorouracil
hsa-mir-191,Oxaliplatin
hsa-mir-20a,5-Fluorouracil
hsa-mir-20a,Oxaliplatin
hsa-mir-21,5-Fluorouracil
hsa-mir-21,Oxaliplatin
hsa-mir-216a,5-Fluorouracil
hsa-mir-216a,Oxaliplatin
hsa-mir-24-1,5-Fluorouracil
hsa-mir-24-1,Oxaliplatin
hsa-mir-25,5-Fluorouracil
hsa-mir-25,Oxaliplatin
hsa-mir-372,5-Fluorouracil
hsa-mir-372,Oxaliplatin
hsa-mir-483,5-Fluorouracil
hsa-mir-483,Oxaliplatin
hsa-mir-618,5-Fluorouracil
hsa-mir-618,Oxaliplatin
hsa-mir-92a-1,5-Fluorouracil
hsa-mir-92a-1,Oxaliplatin
hsa-mir-99a,5-Fluorouracil
hsa-mir-99a,Oxaliplatin
hsa-mir-146a,Carboplatin
hsa-mir-146a,Doxorubicin (Adriamycin)
hsa-mir-146a,Mitomycin C
hsa-mir-146b,Carboplatin
hsa-mir-146b,Doxorubicin (Adriamycin)
hsa-mir-146b,Mitomycin C
hsa-mir-15a,Carboplatin
hsa-mir-15a,Doxorubicin (Adriamycin)
hsa-mir-15a,Mitomycin C
hsa-mir-16-1,Carboplatin
hsa-mir-16-1,Doxorubicin (Adriamycin)
hsa-mir-16-1,Mitomycin C
hsa-mir-181a-2,Carboplatin
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Mitomycin C
hsa-mir-181d,Carboplatin
hsa-mir-181d,Doxorubicin (Adriamycin)
hsa-mir-181d,Mitomycin C
hsa-mir-194-1,Carboplatin
hsa-mir-194-1,Doxorubicin (Adriamycin)
hsa-mir-194-1,Mitomycin C
hsa-mir-27b,Carboplatin
hsa-mir-27b,Doxorubicin (Adriamycin)
hsa-mir-27b,Mitomycin C
hsa-mir-30b,Carboplatin
hsa-mir-30b,Doxorubicin (Adriamycin)
hsa-mir-30b,Mitomycin C
hsa-mir-520h,Doxorubicin (Adriamycin)
hsa-mir-200b,Docetaxel
hsa-mir-328,Cisplatin
hsa-mir-328,Hydrogen Peroxide (H2O2)
hsa-mir-221,Doxorubicin (Adriamycin)
hsa-mir-223,Praziquantel
hsa-mir-21,Gefitinib
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-30d,Cisplatin
hsa-mir-106a,Cisplatin
hsa-mir-217,Dasatinib
hsa-mir-205,Cisplatin
hsa-mir-126,Bleomicin
hsa-mir-181a-2,Cisplatin
hsa-mir-503,Cisplatin
hsa-mir-223,Doxorubicin (Adriamycin)
hsa-mir-223,Paclitaxel
hsa-let-7c,Cisplatin
hsa-mir-137,Cisplatin
hsa-mir-34a,Cisplatin
hsa-mir-146a,Cisplatin
hsa-mir-34a,Capsaicin
hsa-mir-182,Cisplatin
hsa-mir-145,5-Fluorouracil
hsa-mir-34a,5-Fluorouracil
hsa-mir-147a,Gefitinib
hsa-mir-142,Levetiracetam(LEV)
hsa-mir-142,Valproate(VAP)
hsa-mir-206,Levetiracetam(LEV)
hsa-mir-206,Valproate(VAP)
hsa-mir-374a,Levetiracetam(LEV)
hsa-mir-374a,Valproate(VAP)
hsa-let-7g,FOLFOX Chemotherapy
hsa-let-7i,FOLFOX Chemotherapy
hsa-mir-101-1,FOLFOX Chemotherapy
hsa-mir-103a-1,FOLFOX Chemotherapy
hsa-mir-103a-2,FOLFOX Chemotherapy
hsa-mir-103a-2,FOLFOX Chemotherapy
hsa-mir-106a,FOLFOX Chemotherapy
hsa-mir-107,FOLFOX Chemotherapy
hsa-mir-10a,FOLFOX Chemotherapy
hsa-mir-10b,FOLFOX Chemotherapy
hsa-mir-122,FOLFOX Chemotherapy
hsa-mir-122,FOLFOX Chemotherapy
hsa-mir-125b-1,FOLFOX Chemotherapy
hsa-mir-133b,FOLFOX Chemotherapy
hsa-mir-142,FOLFOX Chemotherapy
hsa-mir-144,FOLFOX Chemotherapy
hsa-mir-144,FOLFOX Chemotherapy
hsa-mir-146a,FOLFOX Chemotherapy
hsa-mir-148a,FOLFOX Chemotherapy
hsa-mir-148b,FOLFOX Chemotherapy
hsa-mir-15a,FOLFOX Chemotherapy
hsa-mir-181a-2,FOLFOX Chemotherapy
hsa-mir-185,FOLFOX Chemotherapy
hsa-mir-18a,FOLFOX Chemotherapy
hsa-mir-18a,FOLFOX Chemotherapy
hsa-mir-192,FOLFOX Chemotherapy
hsa-mir-193b,FOLFOX Chemotherapy
hsa-mir-199a-1,FOLFOX Chemotherapy
hsa-mir-19a,Chemotherapy
hsa-mir-19a,FOLFOX Chemotherapy
hsa-mir-19b-1,FOLFOX Chemotherapy
hsa-mir-205,FOLFOX Chemotherapy
hsa-mir-20a,FOLFOX Chemotherapy
hsa-mir-20b,FOLFOX Chemotherapy
hsa-mir-21,FOLFOX Chemotherapy
hsa-mir-210,FOLFOX Chemotherapy
hsa-mir-215,FOLFOX Chemotherapy
hsa-mir-22,FOLFOX Chemotherapy
hsa-mir-221,FOLFOX Chemotherapy
hsa-mir-221,FOLFOX Chemotherapy
hsa-mir-222,FOLFOX Chemotherapy
hsa-mir-222,FOLFOX Chemotherapy
hsa-mir-26b,FOLFOX Chemotherapy
hsa-mir-29a,FOLFOX Chemotherapy
hsa-mir-29b-1,FOLFOX Chemotherapy
hsa-mir-29c,FOLFOX Chemotherapy
hsa-mir-30a,FOLFOX Chemotherapy
hsa-mir-30e,FOLFOX Chemotherapy
hsa-mir-32,FOLFOX Chemotherapy
hsa-mir-324,FOLFOX Chemotherapy
hsa-mir-331,FOLFOX Chemotherapy
hsa-mir-335,FOLFOX Chemotherapy
hsa-mir-339,FOLFOX Chemotherapy
hsa-mir-34a,FOLFOX Chemotherapy
hsa-mir-365a,FOLFOX Chemotherapy
hsa-mir-409,FOLFOX Chemotherapy
hsa-mir-423,FOLFOX Chemotherapy
hsa-mir-451a,FOLFOX Chemotherapy
hsa-mir-501,FOLFOX Chemotherapy
hsa-mir-502,FOLFOX Chemotherapy
hsa-mir-543,FOLFOX Chemotherapy
hsa-mir-652,FOLFOX Chemotherapy
hsa-mir-660,FOLFOX Chemotherapy
hsa-mir-99a,FOLFOX Chemotherapy
hsa-mir-21,Gemcitabine
hsa-mir-16-1,Cisplatin
hsa-mir-16-1,Doxorubicin (Adriamycin)
hsa-mir-183,Cisplatin
hsa-mir-193a,Cisplatin
hsa-mir-296,Cisplatin
hsa-mir-296,Doxorubicin (Adriamycin)
hsa-mir-296,Paclitaxel
hsa-mir-132,Chemotherapy
hsa-mir-140,Chemotherapy
hsa-mir-143,Chemotherapy
hsa-mir-145,Chemotherapy
hsa-mir-15b,Chemotherapy
hsa-mir-17,Chemotherapy
hsa-mir-181a-2,Chemotherapy
hsa-mir-200a,Chemotherapy
hsa-mir-200c,Chemotherapy
hsa-mir-21,Chemotherapy
hsa-mir-215,Chemotherapy
hsa-mir-221,Chemotherapy
hsa-mir-23a,Chemotherapy
hsa-mir-25,Chemotherapy
hsa-mir-26b,Chemotherapy
hsa-mir-30a,Chemotherapy
hsa-mir-33a,Cisplatin
hsa-mir-34c,Chemotherapy
hsa-mir-363,Chemotherapy
hsa-mir-375,Chemotherapy
hsa-mir-422a,Chemotherapy
hsa-mir-451a,Chemotherapy
hsa-mir-611,Chemotherapy
hsa-mir-625,Chemotherapy
hsa-mir-92a-1,Chemotherapy
hsa-mir-21,Cisplatin
hsa-mir-133a-1,Sunitinib
hsa-mir-484,Sunitinib
hsa-mir-628,Sunitinib
hsa-mir-942,Sunitinib
hsa-mir-503,Cisplatin
hsa-mir-130a,Cisplatin
hsa-mir-145,Paclitaxel
hsa-mir-27a,Cisplatin
hsa-mir-30c-1,Doxorubicin (Adriamycin)
hsa-mir-34a,Erlotinib
hsa-mir-29b-1,Ethanol
hsa-mir-100,Cisplatin
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-100,Etoposide
hsa-mir-26b,Doxorubicin (Adriamycin)
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-100,Cisplatin
hsa-mir-375,Trastuzumab
hsa-let-7c,Cisplatin
hsa-mir-100,Cisplatin
hsa-mir-100,Cisplatin
hsa-mir-10a,Cisplatin
hsa-mir-125b-1,Cisplatin
hsa-mir-133a-1,Cisplatin
hsa-mir-139,Cisplatin
hsa-mir-181c,Cisplatin
hsa-mir-27b,Cisplatin
hsa-mir-33a,Cisplatin
hsa-mir-34a,Cisplatin
hsa-mir-383,Cisplatin
hsa-mir-486-1,Cisplatin
hsa-mir-221,Chemotherapy
hsa-mir-107,Paclitaxel
hsa-mir-187,Paclitaxel
hsa-mir-195,Paclitaxel
hsa-mir-363,Paclitaxel
hsa-mir-376a-1,Paclitaxel
hsa-mir-411,Paclitaxel
hsa-mir-497,Paclitaxel
hsa-mir-517a,Paclitaxel
hsa-mir-589,Paclitaxel
hsa-mir-622,Paclitaxel
hsa-mir-647,Paclitaxel
hsa-mir-663a,Paclitaxel
hsa-mir-10a,Cytarabine
hsa-mir-10b,Cytarabine
hsa-mir-125b-1,Daunorubicin
hsa-mir-130a,Gefitinib
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-22,Cisplatin
hsa-mir-22,Doxorubicin (Adriamycin)
hsa-mir-21,Cisplatin
hsa-mir-200c,Trastuzumab
hsa-mir-141,Cisplatin
hsa-mir-130b,Imatinib
hsa-mir-146a,Imatinib
hsa-mir-26a-1,Imatinib
hsa-mir-29c,Imatinib
hsa-mir-125b-1,Temozolomide
hsa-mir-452,Docetaxel
hsa-mir-630,Lapatinib
hsa-mir-630,Neratinib
hsa-let-7a-1,Cisplatin
hsa-let-7b,Cisplatin
hsa-let-7d,Cisplatin
hsa-let-7f-1,Cisplatin
hsa-let-7g,Cisplatin
hsa-mir-10b,Cisplatin
hsa-mir-1275,Cisplatin
hsa-mir-138-1,Cisplatin
hsa-mir-141,Cisplatin
hsa-mir-199a-1,Cisplatin
hsa-mir-199b,Cisplatin
hsa-mir-200a,Cisplatin
hsa-mir-200c,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-221,Cisplatin
hsa-mir-222,Cisplatin
hsa-mir-23a,Cisplatin
hsa-mir-27a,Cisplatin
hsa-mir-31,Cisplatin
hsa-mir-363,Cisplatin
hsa-mir-452,Cisplatin
hsa-mir-542,Cisplatin
hsa-mir-675,Cisplatin
hsa-mir-98,Cisplatin
hsa-mir-99a,Cisplatin
hsa-mir-497,Gemcitabine
hsa-mir-940,Cisplatin
hsa-mir-199b,Imatinib
hsa-mir-489,Cisplatin
hsa-mir-21,Teniposide
hsa-let-7i,Tamoxifen
hsa-mir-100,Docetaxel
hsa-mir-100,Docetaxel
hsa-mir-105-1,Docetaxel
hsa-mir-125a,Docetaxel
hsa-mir-1267,Docetaxel
hsa-mir-135b,Docetaxel
hsa-mir-135b,Docetaxel
hsa-mir-146a,Docetaxel
hsa-mir-146a,Docetaxel
hsa-mir-146b,Docetaxel
hsa-mir-151a,Docetaxel
hsa-mir-152,Docetaxel
hsa-mir-15a,Docetaxel
hsa-mir-191,Docetaxel
hsa-mir-191,Docetaxel
hsa-mir-194-1,Docetaxel
hsa-mir-196b,Docetaxel
hsa-mir-200a,Docetaxel
hsa-mir-200a,Docetaxel
hsa-mir-200b,Docetaxel
hsa-mir-200b,Docetaxel
hsa-mir-200c,Docetaxel
hsa-mir-203a,Docetaxel
hsa-mir-205,Docetaxel
hsa-mir-20b,Docetaxel
hsa-mir-210,Docetaxel
hsa-mir-24-1,Docetaxel
hsa-mir-25,Docetaxel
hsa-mir-26b,Docetaxel
hsa-mir-27a,Docetaxel
hsa-mir-301a,Docetaxel
hsa-mir-301a,Docetaxel
hsa-mir-301b,Docetaxel
hsa-mir-30a,Docetaxel
hsa-mir-30e,Docetaxel
hsa-mir-342,Docetaxel
hsa-mir-34a,Docetaxel
hsa-mir-34b,Docetaxel
hsa-mir-375,Docetaxel
hsa-mir-429,Docetaxel
hsa-mir-429,Docetaxel
hsa-mir-454,Docetaxel
hsa-mir-455,Docetaxel
hsa-mir-486-1,Docetaxel
hsa-mir-489,Docetaxel
hsa-mir-590,Docetaxel
hsa-mir-598,Docetaxel
hsa-mir-767,Docetaxel
hsa-mir-9-1,Docetaxel
hsa-mir-95,Docetaxel
hsa-mir-96,Docetaxel
hsa-mir-99a,Docetaxel
hsa-mir-99b,Docetaxel
hsa-mir-210,Asparaginase
hsa-mir-210,Daunorubicin
hsa-mir-210,Dexamethasone
hsa-mir-17,Cisplatin
hsa-mir-20a,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-221,Gefitinib
hsa-mir-222,Gefitinib
hsa-mir-30b,Gefitinib
hsa-mir-30c-1,Gefitinib
hsa-mir-223,DAPT (GSI-IX)
hsa-mir-100,Docetaxel
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-17,Docetaxel
hsa-mir-17,Doxorubicin (Adriamycin)
hsa-mir-222,Docetaxel
hsa-mir-222,Doxorubicin (Adriamycin)
hsa-mir-342,Docetaxel
hsa-mir-342,Doxorubicin (Adriamycin)
hsa-mir-451a,Docetaxel
hsa-mir-451a,Doxorubicin (Adriamycin)
hsa-mir-302a,Interferon-alpha
hsa-mir-181c,Tamoxifen
hsa-mir-181d,Tamoxifen
hsa-mir-199a-1,Tamoxifen
hsa-mir-300,Tamoxifen
hsa-mir-330,Tamoxifen
hsa-mir-512-1,Tamoxifen
hsa-mir-515-1,Tamoxifen
hsa-mir-516a-1,Tamoxifen
hsa-mir-517c,Tamoxifen
hsa-mir-518b,Tamoxifen
hsa-mir-518c,Tamoxifen
hsa-mir-518e,Tamoxifen
hsa-mir-518f,Tamoxifen
hsa-mir-513a-1,Tamoxifen
hsa-mir-519c,Tamoxifen
hsa-mir-519d,Tamoxifen
hsa-mir-519e,Tamoxifen
hsa-mir-520b,Tamoxifen
hsa-mir-520h,Tamoxifen
hsa-mir-521-1,Tamoxifen
hsa-mir-522,Tamoxifen
hsa-mir-642a,Tamoxifen
hsa-mir-7-1,Tamoxifen
hsa-mir-769,Tamoxifen
hsa-mir-935,Tamoxifen
hsa-let-7a-1,Paclitaxel
hsa-mir-101-1,Paclitaxel
hsa-mir-106a,Paclitaxel
hsa-mir-1246,Paclitaxel
hsa-mir-1275,Paclitaxel
hsa-mir-1290,Paclitaxel
hsa-mir-16-1,Paclitaxel
hsa-mir-17,Paclitaxel
hsa-mir-1973,Paclitaxel
hsa-mir-19a,Paclitaxel
hsa-mir-20a,Paclitaxel
hsa-mir-27a,Paclitaxel
hsa-mir-3074,Paclitaxel
hsa-mir-31,Paclitaxel
hsa-mir-3196,Paclitaxel
hsa-mir-365a,Paclitaxel
hsa-mir-374a,Paclitaxel
hsa-mir-4284,Paclitaxel
hsa-mir-4288,Paclitaxel
hsa-mir-483,Paclitaxel
hsa-mir-513a-1,Paclitaxel
hsa-mir-676,Paclitaxel
hsa-mir-181b-1,Cytarabine
hsa-mir-181b-1,Doxorubicin (Adriamycin)
hsa-let-7e,Doxorubicin (Adriamycin)
hsa-let-7e,Vincristine
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-100,Vincristine
hsa-mir-1246,Doxorubicin (Adriamycin)
hsa-mir-1246,Vincristine
hsa-mir-125a,Doxorubicin (Adriamycin)
hsa-mir-125a,Vincristine
hsa-mir-148a,Doxorubicin (Adriamycin)
hsa-mir-148a,Vincristine
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Vincristine
hsa-mir-181b-1,Doxorubicin (Adriamycin)
hsa-mir-181b-1,Vincristine
hsa-mir-342,Doxorubicin (Adriamycin)
hsa-mir-342,Vincristine
hsa-mir-378a,Doxorubicin (Adriamycin)
hsa-mir-378a,Vincristine
hsa-mir-425,Doxorubicin (Adriamycin)
hsa-mir-425,Vincristine
hsa-mir-4430,Doxorubicin (Adriamycin)
hsa-mir-4430,Vincristine
hsa-mir-494,Doxorubicin (Adriamycin)
hsa-mir-494,Vincristine
hsa-mir-7-1,Doxorubicin (Adriamycin)
hsa-mir-7-1,Vincristine
hsa-mir-99b,Doxorubicin (Adriamycin)
hsa-mir-99b,Vincristine
hsa-mir-185,Cisplatin
hsa-mir-185,Doxorubicin (Adriamycin)
hsa-mir-29b-1,chemotherapy
hsa-mir-200b,Cisplatin
hsa-mir-200b,Doxorubicin (Adriamycin)
hsa-mir-200b,Etoposide
hsa-mir-125b-1,Rituximab
hsa-mir-221,Carmustine
hsa-mir-489,Doxorubicin (Adriamycin)
hsa-mir-130a,Doxorubicin (Adriamycin)
hsa-mir-451a,Doxorubicin (Adriamycin)
hsa-let-7g,5-Fluorouracil
hsa-mir-34c,Cisplatin
hsa-mir-34c,Doxorubicin (Adriamycin)
hsa-mir-34c,Methotrexate
hsa-mir-429,Cisplatin
hsa-mir-106b,Chemotherapy
hsa-mir-152,Chemotherapy
hsa-mir-200a,Chemotherapy
hsa-mir-381,Chemotherapy
hsa-mir-429,Chemotherapy
hsa-mir-1287,Paclitaxel
hsa-mir-130a,Paclitaxel
hsa-mir-181a-2,Paclitaxel
hsa-mir-193b,Paclitaxel
hsa-mir-224,Paclitaxel
hsa-mir-224,Paclitaxel
hsa-mir-3127,Paclitaxel
hsa-mir-424,Paclitaxel
hsa-mir-452,Paclitaxel
hsa-mir-4713,Paclitaxel
hsa-mir-200b,Docetaxel
hsa-mir-374a,Gefitinib
hsa-mir-548b,Gefitinib
hsa-mir-205,Gemcitabine
hsa-mir-125b-1,5-Fluorouracil
hsa-mir-10b,Chemotherapy
hsa-mir-10b,Chemotherapy
hsa-mir-1233-1,Chemotherapy
hsa-mir-129-1,Chemotherapy
hsa-mir-135b,Chemotherapy
hsa-mir-148a,Chemotherapy
hsa-mir-182,Chemotherapy
hsa-mir-183,Chemotherapy
hsa-mir-193a,Chemotherapy
hsa-mir-200b,Chemotherapy
hsa-mir-22,Chemotherapy
hsa-mir-302a,Chemotherapy
hsa-mir-30a,Chemotherapy
hsa-mir-33b,Chemotherapy
hsa-mir-34b,Chemotherapy
hsa-mir-371a,Chemotherapy
hsa-mir-424,Chemotherapy
hsa-mir-431,Chemotherapy
hsa-mir-488,Chemotherapy
hsa-mir-491,Chemotherapy
hsa-mir-492,Chemotherapy
hsa-mir-498,Chemotherapy
hsa-mir-509-3,Chemotherapy
hsa-mir-513a-1,Chemotherapy
hsa-mir-517b,Chemotherapy
hsa-mir-545,Chemotherapy
hsa-mir-592,Chemotherapy
hsa-mir-597,Chemotherapy
hsa-mir-625,Chemotherapy
hsa-mir-628,Chemotherapy
hsa-mir-629,Chemotherapy
hsa-mir-641,Chemotherapy
hsa-mir-7-1,Chemotherapy
hsa-mir-708,Chemotherapy
hsa-mir-7-1,Chemotherapy
hsa-mir-96,Chemotherapy
hsa-mir-192,Cisplatin
hsa-mir-1236,Doxorubicin (Adriamycin)
hsa-mir-1236,Prednisone (R-CHOP)
hsa-mir-1236,Vincristine
hsa-mir-1256,Doxorubicin (Adriamycin)
hsa-mir-1256,Prednisone (R-CHOP)
hsa-mir-1256,Vincristine
hsa-mir-129-1,Doxorubicin (Adriamycin)
hsa-mir-129-1,Prednisone (R-CHOP)
hsa-mir-129-1,Vincristine
hsa-mir-138-1,Doxorubicin (Adriamycin)
hsa-mir-138-1,Prednisone (R-CHOP)
hsa-mir-138-1,Vincristine
hsa-mir-187,Doxorubicin (Adriamycin)
hsa-mir-187,Prednisone (R-CHOP)
hsa-mir-187,Vincristine
hsa-mir-191,Doxorubicin (Adriamycin)
hsa-mir-191,Prednisone (R-CHOP)
hsa-mir-191,Vincristine
hsa-mir-214,Doxorubicin (Adriamycin)
hsa-mir-214,Prednisone (R-CHOP)
hsa-mir-214,Vincristine
hsa-mir-224,Doxorubicin (Adriamycin)
hsa-mir-224,Prednisone (R-CHOP)
hsa-mir-224,Vincristine
hsa-mir-29b-2,Doxorubicin (Adriamycin)
hsa-mir-29b-2,Prednisone (R-CHOP)
hsa-mir-29b-2,Vincristine
hsa-mir-33a,Doxorubicin (Adriamycin)
hsa-mir-33a,Prednisone (R-CHOP)
hsa-mir-33a,Vincristine
hsa-mir-455,Doxorubicin (Adriamycin)
hsa-mir-455,Prednisone (R-CHOP)
